timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732356036702,619,SearchFlights,200,OK,Thread Group 1-4,text,true,,2378,873,10,10,https://blazedemo.com/reserve.php,617,0,0
1732356036921,410,PurchaseFlight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,2688,928,10,10,null,0,2,0
1732356036922,410,PurchaseFlight,200,OK,Thread Group 1-10,text,true,,2688,928,10,10,https://blazedemo.com/purchase.php,409,0,0
1732356036872,463,PurchaseFlight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,2442,928,10,10,null,0,1,0
1732356036872,463,PurchaseFlight,200,OK,Thread Group 1-9,text,true,,2442,928,10,10,https://blazedemo.com/purchase.php,463,0,0
1732356036712,621,SearchFlights,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,2444,878,10,10,null,0,3,0
1732356036713,621,SearchFlights,200,OK,Thread Group 1-3,text,true,,2444,878,10,10,https://blazedemo.com/reserve.php,607,0,0
1732356036943,418,PurchaseFlight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,2505,928,10,10,null,0,0,0
1732356036943,418,PurchaseFlight,200,OK,Thread Group 1-5,text,true,,2505,928,10,10,https://blazedemo.com/purchase.php,413,0,0
1732356037304,416,EnterDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,2388,1062,10,10,null,0,2,0
1732356037305,416,EnterDetails,200,OK,Thread Group 1-6,text,true,,2388,1062,10,10,https://blazedemo.com/confirmation.php,410,0,0
1732356037326,399,EnterDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,2323,1062,10,10,null,0,7,0
1732356037327,399,EnterDetails,200,OK,Thread Group 1-8,text,true,,2323,1062,10,10,https://blazedemo.com/confirmation.php,396,0,0
1732356037320,394,EnterDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,2491,1062,10,10,null,0,21,0
1732356037329,394,EnterDetails,200,OK,Thread Group 1-7,text,true,,2491,1062,10,10,https://blazedemo.com/confirmation.php,390,0,0
1732356037333,407,EnterDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,2339,1062,10,10,null,0,1,0
1732356037334,407,EnterDetails,200,OK,Thread Group 1-10,text,true,,2339,1062,10,10,https://blazedemo.com/confirmation.php,406,0,0
1732356037304,440,EnterDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,2465,1062,10,10,null,0,2,0
1732356037305,440,EnterDetails,200,OK,Thread Group 1-1,text,true,,2465,1062,10,10,https://blazedemo.com/confirmation.php,439,0,0
1732356037746,4,Debug Sampler,200,OK,Thread Group 1-1,text,true,,589,0,10,10,null,0,0,0
1732356037742,8,Debug Sampler,200,OK,Thread Group 1-8,text,true,,589,0,10,10,null,0,0,0
1732356037744,9,Debug Sampler,200,OK,Thread Group 1-6,text,true,,589,0,10,10,null,0,0,0
1732356037749,4,Debug Sampler,200,OK,Thread Group 1-7,text,true,,587,0,10,10,null,0,0,0
1732356037336,419,EnterDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,2341,1062,10,10,null,0,1,0
1732356037336,419,EnterDetails,200,OK,Thread Group 1-9,text,true,,2341,1062,10,10,https://blazedemo.com/confirmation.php,418,0,0
1732356037756,1,Debug Sampler,200,OK,Thread Group 1-9,text,true,,586,0,10,10,null,0,0,0
1732356037743,15,Debug Sampler,200,OK,Thread Group 1-10,text,true,,588,0,10,10,null,0,0,0
1732356037362,413,EnterDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,2466,1062,10,10,null,0,1,0
1732356037362,413,EnterDetails,200,OK,Thread Group 1-5,text,true,,2466,1062,10,10,https://blazedemo.com/confirmation.php,408,0,0
1732356037776,1,Debug Sampler,200,OK,Thread Group 1-5,text,true,,585,0,10,10,null,0,0,0
1732356037326,595,PurchaseFlight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,2634,928,10,10,null,0,1,0
1732356037327,595,PurchaseFlight,200,OK,Thread Group 1-2,text,true,,2634,928,10,10,https://blazedemo.com/purchase.php,593,0,0
